ms,control_dt_us,control_exec_us,esekf_us,missed,log_dropped,ax,ay,az,gx,gy,gz,roll_deg,pitch_deg,yaw_deg,vn,ve,vu,pn,pe,pu,bgx,bgy,bgz,bax,bay,baz,s_roll,s_pitch,u_diff_deg,u_sym_deg,u_tail_deg,left_inc_deg,right_inc_deg,b00,b01,b10,b11,left_deg,right_deg,morph_deg,tail_deg,left_pwm,right_pwm,morph_pwm,tail_pwm,gps_fix,gps_sats,gps_lat_deg,gps_lon_deg,gps_alt_m,gps_vn,gps_ve,gps_vd,gps_fix_type,gps_hacc_m,gps_vacc_m,gps_sacc_mps,gps_origin_set
517,500994,15253,12085,0,0,-1.89980,-8.15824,-3.95163,0.050067,-0.295078,-0.207727,166.141,69.093,0.260,0.0130,0.1109,-0.0920,0.0001,0.0007,-0.0006,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2475,1500,0,,,,,,,,0,,,,0
568,33766,16922,13874,0,0,-0.39624,-9.14106,-4.52983,-0.231162,-0.030893,0.045806,165.364,69.417,-0.031,0.1018,0.5927,-0.4987,0.0029,0.0179,-0.0148,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2475,1500,0,,,,,,,,0,,,,0
629,16827,16028,12990,0,0,-1.13006,-6.54694,-3.44286,-0.393083,-0.448476,-0.240750,164.298,69.938,0.675,0.1458,1.1212,-1.0716,0.0107,0.0724,-0.0644,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2474,1500,0,,,,,,,,0,,,,0
668,21609,16038,12985,0,0,-0.96965,-8.29950,-4.61482,-0.401605,-0.564590,-0.564590,165.520,71.481,2.888,0.2036,1.4519,-1.3755,0.0174,0.1218,-0.1115,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2474,1500,0,,,,,,,,0,,,,0
730,16813,16040,12997,0,0,-0.24301,-8.48146,-3.92649,-0.511327,-0.565655,-0.576308,169.627,73.440,8.762,0.2646,2.0670,-1.9236,0.0321,0.2306,-0.2132,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2473,1500,0,,,,,,,,0,,,,0
775,23072,16048,12751,0,0,-1.41018,-7.02100,-5.68503,-0.692422,-0.660464,-0.406931,170.953,75.337,11.843,0.3565,2.4433,-2.2613,0.0460,0.3325,-0.3078,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2473,1500,0,,,,,,,,0,,,,0
830,16778,15989,12946,0,0,-1.54665,-6.77439,-6.35900,-0.851146,-0.299339,-0.161920,170.801,76.752,14.364,0.4990,2.9278,-2.6609,0.0694,0.4806,-0.4436,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2472,1500,0,,,,,,,,0,,,,0
875,23117,16172,12748,0,0,-1.34195,-7.47350,-6.01543,-0.989631,-0.223706,-0.035154,168.652,77.330,14.642,0.5840,3.3389,-2.9985,0.0939,0.6217,-0.5711,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2472,1500,0,,,,,,,,0,,,,0
920,23042,15665,12619,0,0,-1.68073,-6.16627,-6.19739,-1.132376,-0.676443,0.037284,163.616,78.793,12.461,0.6723,3.7296,-3.3342,0.1224,0.7823,-0.7148,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2471,1500,0,,,,,,,,0,,,,0
975,16193,16043,12673,0,0,-2.12605,-6.95396,-6.04296,-1.213336,-1.243164,-0.160855,153.975,82.021,6.508,0.7475,4.2289,-3.7335,0.1615,1.0001,-0.9083,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2471,1500,0,,,,,,,,0,,,,0
1037,32211,23856,15563,0,0,-3.26210,-5.47793,-7.43280,-1.357147,-0.882039,-0.360059,142.007,85.232,-1.466,0.8642,4.6958,-4.0810,0.2050,1.2422,-1.1205,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2470,1500,0,,,,,,,,0,,,,0
1071,24802,32325,24233,0,0,-2.51511,-5.94720,-6.64630,-1.388040,-0.656203,-0.379234,137.449,86.292,-4.059,0.8974,4.9142,-4.2606,0.2269,1.3614,-1.2240,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2470,1500,0,,,,,,,,0,,,,0
1125,16836,16007,12986,0,0,-2.46842,-6.26443,-6.70855,-1.331581,-1.149420,-0.168312,46.917,87.710,-89.162,0.9310,5.5635,-4.8054,0.2917,1.7339,-1.5465,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2469,1500,0,,,,,,,,0,,,,0
1170,28057,16183,13109,0,0,-3.19147,-4.57891,-6.37815,-1.375256,-1.261273,-0.018109,15.938,85.000,-116.699,0.9641,5.9328,-5.1369,0.3340,1.9918,-1.7695,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2469,1500,0,,,,,,,,0,,,,0
1231,16786,15955,12945,0,0,-4.32872,-3.44765,-6.04536,-1.185639,-1.381648,-0.159790,2.758,80.264,-125.295,1.0506,6.3939,-5.5519,0.3958,2.3696,-2.0971,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2468,1500,0,,,,,,,,0,,,,0
1270,21713,16032,12990,0,0,-4.21619,-2.61686,-6.65229,-0.850081,-1.197357,-0.324906,-2.569,77.540,-128.614,1.1405,6.6803,-5.8224,0.4380,2.6208,-2.3157,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2468,1500,0,,,,,,,,0,,,,0
1332,16842,15994,12965,0,0,-5.20859,-0.59975,-5.22175,-0.321710,-1.531850,-0.358994,-7.919,72.711,-132.250,1.3048,7.0757,-6.2404,0.5131,3.0471,-2.6893,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2467,1500,0,,,,,,,,0,,,,0
1377,23520,15609,12454,0,0,-5.57729,-2.59292,-5.86460,-0.138484,-2.477805,-0.061785,-7.391,66.861,-131.174,1.4404,7.3616,-6.5300,0.5759,3.3744,-2.9792,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2467,1500,0,,,,,,,,0,,,,0
1431,16638,15997,12953,0,0,-7.05212,-0.28491,-5.59166,-0.071373,-1.738512,0.254598,-5.122,61.161,-128.446,1.6599,7.7409,-6.8844,0.6588,3.7806,-3.3401,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2466,1500,0,,,,,,,,0,,,,0
1476,23094,16194,12686,0,0,-6.10521,-2.60369,-4.90811,0.059655,-0.994957,0.448476,-2.848,58.113,-125.870,1.7418,8.1055,-7.2024,0.7353,4.1376,-3.6571,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2466,1500,0,,,,,,,,0,,,,0
1537,30671,24194,21131,0,0,-7.19338,-3.58412,-4.28323,0.133158,-1.300688,0.347276,-0.608,54.664,-123.618,1.8382,8.5082,-7.5419,0.8299,4.5737,-4.0447,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2465,1500,0,,,,,,,,0,,,,0
1581,27757,15703,12619,0,0,-8.88369,-2.80241,-4.21739,0.370712,-1.052481,0.009587,0.637,51.217,-123.214,1.9496,8.9592,-7.8436,0.9285,5.0293,-4.4464,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2465,1500,0,,,,,,,,2,,,,0
1626,23115,16176,13099,0,0,-10.23402,-4.44603,-3.52905,0.450607,-0.762729,-0.149137,1.293,49.093,-123.706,2.0408,9.4094,-8.0549,1.0186,5.4430,-4.8047,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2464,1500,0,,,,,,,,2,,,,0
1688,32035,24104,16062,0,0,-11.48618,-3.80439,-4.53821,0.696683,-0.352603,-0.106526,2.769,47.744,-124.349,2.1810,10.0139,-8.3052,1.1322,5.9685,-5.2476,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2464,1500,0,,,,,,,,2,,,,0
1727,16990,16105,13005,0,0,-11.91355,-2.84910,-5.33668,0.501740,0.226901,-0.165116,3.988,47.948,-124.811,2.3964,10.5730,-8.5392,1.2388,6.4488,-5.6404,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2463,1500,0,,,,,,,,2,,,,0
1772,23080,16220,13107,0,0,-11.80102,-3.50152,-6.88932,0.271642,0.229032,-0.416518,3.859,48.561,-126.184,2.6246,11.1082,-8.7701,1.3521,6.9386,-6.0314,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2463,1500,0,,,,,,,,2,,,,0
1817,23333,15802,12660,0,0,-10.81461,-3.54940,-5.65271,0.136354,0.913997,-0.621049,2.718,50.537,-128.279,2.8532,11.6370,-9.0226,1.4769,7.4556,-6.4358,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2463,1500,0,,,,,,,,2,,,,0
1872,16597,16014,12966,0,0,-9.12191,-4.16711,-5.01705,0.029827,0.873517,-0.422910,0.998,53.496,-130.766,3.0520,12.1880,-9.3192,1.6396,8.1108,-6.9400,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2462,1500,0,,,,,,,,2,,,,0
1917,23270,15784,12661,0,0,-7.95593,-4.34907,-4.87340,-0.122505,0.768056,0.037284,0.608,55.594,-130.951,3.1644,12.6223,-9.5937,1.7802,8.6720,-7.3677,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2462,1500,0,,,,,,,,2,,,,0
1980,16874,15629,12562,0,0,-7.35140,-3.67390,-4.65672,-0.225836,0.015979,0.488956,1.736,56.601,-128.590,3.2950,13.1351,-9.9642,1.9818,9.4762,-7.9781,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2461,1500,0,,,,,,,,2,,,,0
2035,36618,17696,14622,0,0,-8.13310,-2.28527,-3.90255,-0.058590,-0.449542,0.699879,4.348,55.455,-125.105,3.4480,13.5427,-10.2552,2.1604,10.1832,-8.5140,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2461,1500,0,,,,,,,,2,,,,0
2068,18446,32752,24533,0,0,-7.64588,-3.87980,-4.74411,0.018109,-0.102265,0.843689,5.640,55.270,-123.559,3.4830,13.7087,-10.3738,2.2243,10.4345,-8.7042,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2461,1500,0,,,,,,,,2,,,,0
2128,15808,15959,12929,0,0,-7.34421,-2.71383,-4.69623,0.104396,0.337689,0.499609,10.686,56.477,-117.898,3.6632,14.3219,-10.8475,2.4994,11.5136,-9.5210,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2460,1500,0,,,,,,,,2,,,,0
2167,21517,16104,12997,0,0,-7.35978,-2.50553,-4.56455,-0.041545,0.280165,0.107592,11.477,57.016,-116.882,3.7474,14.6336,-11.0932,2.6412,12.0679,-9.9410,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2459,1500,0,,,,,,,,3,,,,0
2230,16904,16073,13017,0,0,-6.64990,-3.24055,-4.79199,-0.079895,-0.061785,-0.419714,9.803,57.770,-118.542,3.8495,15.0755,-11.3782,2.8521,12.9878,-10.5563,0.0000338,-0.0010202,0.0001631,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2459,1500,0,,,,,,,,3,,,,0
2276,23151,16172,12721,0,0,-6.95516,-3.16873,-4.55138,-0.039415,0.075634,-0.453803,7.860,58.149,-120.702,3.9347,15.4446,-11.6832,3.0283,13.6785,-11.0784,0.0000338,-0.0010202,0.0001631,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2458,1500,0,,,,,,,,3,,,,0
2332,16840,17658,14627,0,0,-7.21253,-3.03824,-4.31315,-0.046872,-0.112918,-0.158724,5.236,56.005,-122.529,3.9918,16.0454,-12.4495,3.1940,14.6684,-12.0852,0.0017808,0.0054961,-0.0001216,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2458,1500,0,,,,,,,,3,,,,0
2381,29951,17426,14316,0,0,-7.44357,-3.15436,-4.88417,-0.118244,0.148072,0.149137,4.440,53.895,-121.910,4.0493,16.6598,-13.2603,3.3166,15.6046,-13.1056,0.0035751,0.0138212,-0.0007213,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2457,1500,0,,,,,,,,3,,,,0
2426,23138,16201,13119,0,0,-7.81467,-2.70305,-4.66989,-0.139550,0.149137,0.463390,5.606,54.201,-119.985,4.1509,17.0573,-13.5625,3.5083,16.3931,-13.7329,0.0035751,0.0138212,-0.0007213,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2457,1500,0,,,,,,,,2,,,,0
2470,22139,16134,13062,0,0,-7.81587,-2.00155,-5.02064,-0.225836,0.387756,0.519849,7.054,54.759,-117.572,4.2829,17.4406,-13.8512,3.6949,17.1564,-14.3394,0.0035751,0.0138212,-0.0007213,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2457,1500,0,,,,,,,,2,,,,0
2524,30742,16851,13809,0,0,-7.35020,-2.63362,-4.28203,-0.507066,0.199204,0.349407,7.682,55.462,-115.246,4.3793,17.8698,-14.1822,3.9239,18.0887,-15.0795,0.0035751,0.0138212,-0.0007213,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2456,1500,0,,,,,,,,2,,,,0
2572,31899,15866,12794,0,0,-7.49864,-1.67474,-5.20380,-0.557133,-0.213053,0.037284,6.342,54.868,-114.965,4.4999,18.2861,-14.5189,4.1410,18.9737,-15.7820,0.0035751,0.0138212,-0.0007213,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2456,1500,0,,,,,,,,2,,,,0
2632,16709,16027,12993,0,0,-7.42442,-1.84832,-3.99592,-0.826645,-0.759534,-0.070307,2.975,52.782,-115.788,4.6327,18.7708,-14.9221,4.4168,20.0919,-16.6704,0.0035751,0.0138212,-0.0007213,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2455,1500,0,,,,,,,,2,,,,0
2670,16902,15638,12583,0,0,-7.53575,-1.41378,-4.16112,-0.888431,-0.890561,0.044741,0.997,50.875,-115.804,4.7085,19.0655,-15.1734,4.5963,20.8192,-17.2489,0.0035751,0.0138212,-0.0007213,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2455,1500,0,,,,,,,,2,,,,0
2731,16963,16099,13048,0,0,-7.63990,-1.17914,-4.16112,-0.616788,-0.626375,0.085221,-1.257,48.274,-115.249,4.8543,19.5499,-15.5885,4.8823,21.9741,-18.1689,0.0035751,0.0138212,-0.0007213,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2454,1500,0,,,,,,,,2,,,,0
2775,27687,16196,12762,0,0,-8.30429,-1.90459,-5.02304,-0.262055,-0.056459,-0.041545,-2.125,47.773,-115.243,4.9483,19.9506,-15.8992,5.1008,22.8540,-18.8704,0.0035751,0.0138212,-0.0007213,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2454,1500,0,,,,,,,,2,,,,0
2831,16891,16033,13007,0,0,-8.86573,-1.03070,-5.01226,0.199204,0.344080,-0.275903,-17.800,50.974,-131.916,6.9834,19.4517,-14.8864,7.3120,23.0135,-18.3236,0.0037874,-0.0049004,0.0199155,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2453,1500,0,,,,,,,,2,,,,0
2869,21910,31416,28336,0,0,-8.45153,-2.38941,-4.75728,0.381365,0.431432,-0.314253,-18.031,51.366,-132.821,7.0459,19.6397,-15.0084,7.4657,23.4417,-18.6511,0.0037874,-0.0049004,0.0199155,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2453,1500,0,,,,,,,,2,,,,0
2922,35362,17118,14053,0,0,-8.72686,-0.88945,-5.27921,0.364320,0.327036,-0.314253,-18.654,52.262,-135.461,7.3385,20.1880,-15.3917,7.9524,24.7904,-19.6805,0.0037874,-0.0049004,0.0199155,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2452,1500,0,,,,,,,,2,,,,0
2977,16598,15637,12588,0,0,-8.49463,-1.26174,-5.25886,-0.012783,0.471912,-0.232228,-20.082,53.281,-137.678,7.5801,20.6658,-15.7163,8.3737,25.9442,-20.5590,0.0037874,-0.0049004,0.0199155,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2452,1500,0,,,,,,,,2,,,,0
3042,31888,26604,18504,0,0,-9.42118,-0.78051,-5.51026,-0.166181,-0.135289,0.043676,-24.371,54.048,-143.959,8.9048,20.6515,-15.6765,10.0444,26.6462,-21.1647,-0.0003529,-0.0224685,0.0250640,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2451,1500,0,,,,,,,,2,,,,0
3075,27578,27333,24201,0,0,-8.38330,-2.46603,-4.81115,-0.254598,0.054328,0.443150,-24.005,54.430,-143.013,9.0031,20.8709,-15.8133,10.2914,27.2187,-21.5989,-0.0003529,-0.0224685,0.0250640,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2451,1500,0,,,,,,,,2,,,,0
3140,20723,22735,12696,0,0,-8.02417,-0.10534,-5.60961,-0.343015,-0.038350,1.047155,-20.235,55.321,-136.820,9.3497,21.4408,-16.2376,10.9772,28.8009,-22.7970,-0.0003529,-0.0224685,0.0250640,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2450,1500,0,,,,,,,,2,,,,0
3169,28852,22667,19516,0,0,-7.65307,-0.37230,-5.11282,-0.451672,0.017044,1.094027,-18.574,55.969,-133.905,9.4726,21.6510,-16.4139,11.2487,29.4226,-23.2680,-0.0003529,-0.0224685,0.0250640,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2450,1500,0,,,,,,,,2,,,,0
3230,17073,16105,13054,0,0,-7.74764,0.48602,-5.33189,-0.755273,-0.416518,1.208010,-14.197,56.447,-125.585,9.7531,22.1522,-16.8359,11.9036,30.9151,-24.4010,-0.0003529,-0.0224685,0.0250640,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2450,1500,0,,,,,,,,2,,,,0
3269,21599,16092,13022,0,0,-8.12951,1.13126,-4.45441,-0.864995,-0.824515,1.255947,-11.691,55.523,-120.304,9.9227,22.4263,-17.0618,12.2820,31.7725,-25.0531,-0.0003529,-0.0224685,0.0250640,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2450,1500,0,,,,,,,,2,,,,0
3330,17070,16140,13067,0,0,-8.81306,2.41934,-4.23534,-1.106810,-0.788296,1.457282,-7.996,53.505,-111.245,10.1967,22.9007,-17.4009,12.8956,33.1557,-26.1047,-0.0003529,-0.0224685,0.0250640,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2450,1500,1,4,40.4365719,-86.8937250,152.776,-0.143,-0.476,0.032,3,65.23,65.18,0.17,0
3381,24959,15748,12651,0,0,-10.15381,2.56658,-5.82988,-1.129180,-0.311057,1.717206,-4.682,52.664,-103.192,10.4631,23.4043,-17.6746,13.4229,34.3363,-26.9991,-0.0003529,-0.0224685,0.0250640,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2450,1500,1,4,40.4365719,-86.8937250,152.776,-0.143,-0.476,0.032,3,65.23,65.18,0.17,0
3427,23956,16255,13170,0,0,-9.41520,4.32153,-4.26766,-1.625594,-0.429302,2.064482,-1.885,52.257,-94.836,10.6788,23.8180,-17.9114,13.9091,35.4226,-27.8177,-0.0003529,-0.0224685,0.0250640,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2450,1500,1,4,40.4365711,-86.8937449,151.062,0.106,-0.474,0.078,3,52.84,52.54,0.20,0
3467,17758,16157,13066,0,0,-8.38689,4.12641,-4.15514,-2.018676,-0.411192,2.489523,0.566,51.344,-86.060,10.8246,24.1813,-18.1335,14.3388,36.3818,-28.5378,-0.0003529,-0.0224685,0.0250640,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1475,1475,2450,1500,1,4,40.4365711,-86.8937449,151.062,0.106,-0.474,0.078,3,52.84,52.54,0.20,0
