ms,ax_g,ay_g,az_g,a_norm_g,gx_dps,gy_dps,gz_dps,roll_acc_deg,pitch_acc_deg,roll_cf_deg,pitch_cf_deg,p_filt_dps,q_filt_dps,u_roll_deg,u_pitch_deg,left_cmd_deg,right_cmd_deg,left_servo_deg,right_servo_deg,left_pwm,right_pwm
14,-0.367676,0.117310,0.924194,1.001540,3.845215,13.732910,2.075195,7.234,21.538,-0.050,13.180,0.522,1.676,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
73,-0.436890,0.074951,0.889648,0.993964,-2.807617,-9.887695,-10.314941,4.816,26.075,0.609,14.135,0.176,-11.864,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
123,-0.362305,0.072632,0.921265,0.992607,4.150391,0.793457,-1.770020,4.508,21.408,0.641,14.481,3.158,-10.521,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
173,-0.381226,0.122314,0.950439,1.031324,0.610352,-1.892090,6.164551,7.333,21.694,1.381,14.842,1.670,-7.961,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
225,-0.362061,0.086548,0.859375,0.936538,7.019043,3.723145,0.854492,5.751,22.743,2.019,15.153,3.242,-7.542,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
273,-0.326172,0.074707,0.979370,1.034957,15.563965,3.479004,-2.868652,4.362,18.370,2.070,15.797,3.059,-1.408,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
323,-0.388550,0.122314,0.891235,0.979914,5.126953,-12.695313,-2.929688,7.815,23.360,2.517,16.053,2.408,-11.325,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
373,-0.361694,0.090698,0.941406,1.012568,0.915527,-7.812500,-3.479004,5.503,20.929,2.843,15.941,-1.621,-14.430,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
423,-0.355713,0.087646,0.883301,0.956260,2.197266,-8.178711,0.000000,5.667,21.838,3.017,15.878,0.559,-15.651,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
473,-0.399902,0.055908,0.961304,1.042666,-2.563477,-7.812500,-0.122070,3.329,22.553,3.054,15.697,-1.927,-13.967,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
523,-0.338257,0.080078,0.933105,0.995749,-5.554199,5.554199,-2.746582,4.905,19.859,2.945,15.705,-3.790,-7.481,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
573,-0.395508,0.055664,0.946533,1.027351,-4.272461,4.150391,-0.793457,3.366,22.642,2.943,16.104,-7.240,-2.457,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
623,-0.391968,0.053589,0.871704,0.957277,4.333496,-12.451172,0.244141,3.518,24.171,2.784,16.443,-1.711,-11.509,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
664,-0.400024,0.190918,0.906738,1.009279,2.685547,8.544922,-0.183105,11.890,23.350,3.194,16.367,0.807,-7.780,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
723,-0.381836,0.075562,1.043579,1.113807,0.488281,8.605957,-2.929688,4.141,20.049,3.740,16.908,0.473,1.391,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
773,-0.360229,0.076416,0.942505,1.011889,-3.417969,-10.559082,3.601074,4.635,20.855,3.758,17.247,-0.021,-6.637,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
823,-0.336426,0.020752,0.866455,0.929708,3.417969,-1.647949,4.577637,1.372,21.215,3.527,17.118,2.229,-8.762,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
864,-0.414917,0.133057,0.946045,1.041567,4.516602,36.010742,-3.234863,8.006,23.476,3.945,17.444,2.486,10.620,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
923,-0.423096,0.114990,0.834473,0.942644,5.371094,-8.483887,1.037598,7.846,26.669,4.354,19.094,0.291,3.813,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
973,-0.405640,0.075562,0.930908,1.018255,6.286621,4.699707,2.136230,4.641,23.476,4.340,19.225,0.335,-8.677,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
1023,-0.416504,0.106689,0.928833,1.023518,3.662109,15.747070,0.488281,6.553,24.012,4.458,19.657,0.043,4.753,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
1065,-0.357422,0.142822,0.833862,0.918409,-4.638672,-19.958496,-2.807617,9.719,22.903,4.659,19.960,-2.678,-7.046,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
1123,-0.388794,0.052734,0.904907,0.986306,-3.601074,-7.812500,3.967285,3.335,23.216,4.653,19.105,-1.913,-20.102,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
1173,-0.389038,0.130249,0.905396,0.994010,-0.183105,1.220703,1.281738,8.186,23.041,4.617,18.943,-0.463,-7.778,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
1223,-0.393921,0.013916,0.983276,1.059339,-5.981445,-13.366699,-6.835937,0.811,21.830,4.597,18.815,-2.580,-13.336,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
1265,-0.289185,0.103027,0.806885,0.863311,-3.295898,-11.535645,-6.835937,7.276,19.571,4.317,18.437,-6.747,-14.679,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
1323,-0.349243,0.057617,0.922485,0.988064,0.122070,6.652832,2.685547,3.574,20.699,3.562,18.250,-7.543,-4.783,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
1373,-0.340332,0.063232,0.885742,0.950980,4.577637,-11.474609,4.211426,4.083,20.970,3.461,18.207,-1.924,-9.828,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
1423,-0.364136,0.111816,0.995728,1.066101,1.647949,-17.456055,-1.953125,6.407,19.972,3.515,17.761,0.362,-18.355,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
1475,-0.363892,0.077881,0.932983,1.004460,10.681152,-5.676270,2.075195,4.772,21.240,3.931,17.078,6.562,-18.724,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
1523,-0.345459,0.069702,0.958252,1.021003,9.216309,4.638672,5.676270,4.160,19.777,4.281,16.847,5.678,-7.431,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
1573,-0.365845,0.170044,1.004639,1.082615,1.953125,4.638672,8.850098,9.607,19.751,4.864,16.834,3.155,-4.738,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
1623,-0.344849,0.050415,0.847290,0.916167,-1.342773,4.638672,7.324219,3.405,22.111,5.118,17.115,-1.418,-1.998,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
1673,-0.281982,0.088745,1.020752,1.062697,2.319336,-5.798340,1.586914,4.969,15.388,4.884,17.154,-2.307,-8.398,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
1714,-0.306396,0.081665,0.975464,1.025708,3.784180,-1.892090,2.075195,4.786,17.381,4.958,16.861,-2.959,-7.395,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
1773,-0.312378,0.053467,0.938965,0.991006,8.850098,-31.616211,12.207031,3.259,18.374,4.637,16.537,2.329,-20.025,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
1823,-0.423340,0.230957,1.189941,1.283946,0.732422,-1.953125,10.192871,10.984,19.252,4.900,15.678,3.442,-12.304,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
1873,-0.336792,0.085937,0.904053,0.968569,10.681152,-5.859375,6.469727,5.430,20.348,5.453,15.444,4.092,-9.568,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
1914,-0.290649,0.150269,0.817993,0.881005,7.385254,9.399414,3.295898,10.409,19.263,6.239,15.495,8.732,-2.695,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
1973,-0.272339,0.191406,0.910034,0.969003,-13.671875,-32.287598,-2.868652,11.878,16.323,6.841,15.070,-1.228,-24.340,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
2023,-0.292358,0.076538,0.940796,0.988144,-10.314941,-6.713867,-0.244141,4.651,17.209,6.584,14.009,-10.845,-24.135,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
2073,-0.312622,0.040405,0.952637,1.003435,-7.629395,0.732422,0.183105,2.429,18.153,5.873,13.503,-10.903,-12.600,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
2115,-0.308838,0.071045,1.005249,1.054018,-5.371094,-1.464844,0.610352,4.043,17.038,5.186,13.525,-8.831,-6.465,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
2173,-0.265625,0.104858,1.002441,1.042325,0.793457,-20.874023,3.295898,5.972,14.764,4.291,12.959,-3.898,-21.557,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
2223,-0.249878,0.132568,0.958374,0.999247,-2.014160,-17.272949,3.356934,7.876,14.481,4.655,11.974,-3.456,-24.119,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
2273,-0.200806,0.138428,0.967407,0.997678,0.366211,13.854980,-1.525879,8.143,11.611,4.958,11.255,-0.351,-9.756,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
2315,-0.295898,0.104614,0.996094,1.044367,-2.319336,20.141602,-0.061035,5.995,16.459,5.009,11.544,-3.745,7.179,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
2373,-0.273926,0.119263,0.956421,1.001998,-2.685547,-21.789551,4.272461,7.108,15.865,4.953,11.948,-4.991,-11.326,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
2423,-0.257568,0.077148,0.979614,1.015843,-1.098633,-7.934570,0.671387,4.503,14.688,4.886,11.403,-3.477,-17.506,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
2473,-0.238647,0.072632,0.946411,0.978735,1.464844,14.648438,1.647949,4.389,14.113,4.736,11.258,-1.608,-2.120,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
2525,-0.273560,0.107056,0.976562,1.019789,2.319336,-1.892090,0.427246,6.256,15.560,4.690,11.620,-1.513,-2.331,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
2574,-0.262573,0.093506,0.971680,1.010866,0.671387,-4.516602,-3.479004,5.497,15.055,4.567,11.599,-1.095,-8.926,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
2623,-0.259277,0.101685,0.972046,1.011157,4.333496,-1.464844,-4.028320,5.972,14.858,4.832,11.428,1.038,-9.689,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
2673,-0.248047,0.102539,0.938232,0.975870,4.028320,3.845215,-1.403809,6.237,14.725,5.011,11.390,2.149,-5.725,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
2725,-0.259644,0.107056,0.982544,1.021894,0.244141,2.319336,-2.990723,6.218,14.719,5.018,11.488,-0.683,-5.250,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
2773,-0.270386,0.130737,0.983276,1.028121,-2.319336,4.577637,-4.333496,7.574,15.248,5.121,11.708,-2.101,-2.626,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
2823,-0.270752,0.096680,0.995972,1.036636,-2.685547,4.150391,-1.831055,5.544,15.140,5.000,11.974,-3.632,-1.959,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
2873,-0.269653,0.062134,0.973999,1.012545,0.732422,1.220703,1.098633,3.650,15.445,4.824,12.186,-3.078,-3.117,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
2923,-0.256226,0.080322,0.952759,0.989875,5.676270,-1.342773,1.831055,4.819,15.002,4.819,12.203,1.416,-6.625,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
2973,-0.256592,0.089722,0.962280,0.999936,1.770020,5.676270,-1.281738,5.327,14.869,4.952,12.232,0.543,-3.312,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
3023,-0.268433,0.085571,0.977661,1.017448,3.540039,7.690430,-3.723145,5.002,15.297,5.024,12.559,2.058,1.225,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
3073,-0.273560,0.136475,0.973755,1.020617,0.122070,-17.578125,0.610352,7.978,15.547,5.324,12.553,-0.266,-12.018,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
3123,-0.270752,0.097168,0.983521,1.024725,-2.258301,-3.662109,-0.183105,5.642,15.321,5.415,12.029,-1.859,-16.150,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
3164,-0.260254,0.096558,0.928833,0.969426,-1.403809,7.873535,-0.122070,5.935,15.573,5.367,11.944,-2.730,-5.876,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
3223,-0.293701,0.112671,0.974487,1.024002,-1.220703,15.075684,2.136230,6.595,16.667,5.285,12.417,-1.697,4.020,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
3273,-0.302002,0.079956,0.975952,1.024734,-2.441406,0.488281,2.624512,4.684,17.140,5.341,13.040,-2.424,1.689,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
3323,-0.285522,0.097046,0.954590,1.001091,-0.305176,-5.981445,2.441406,5.805,16.571,5.286,13.140,-1.740,-8.324,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
3364,-0.302979,0.134155,1.000488,1.053931,-4.150391,4.455566,-1.525879,7.637,16.707,5.343,13.109,-3.612,-6.124,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
3423,-0.300049,0.119141,0.982422,1.034107,-1.525879,16.113281,-0.732422,6.915,16.867,5.129,13.483,-4.899,3.497,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
3473,-0.300659,0.056396,0.967651,1.014853,1.281738,6.042480,4.882812,3.336,17.233,4.959,14.093,-2.106,4.446,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
3523,-0.300293,0.069946,0.930054,0.979831,1.770020,-2.746582,5.187988,4.301,17.847,4.918,14.328,-0.392,-3.840,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
3565,-0.293701,0.094727,0.968872,1.016832,2.868652,-6.835937,-0.854492,5.584,16.788,5.059,14.257,0.373,-8.867,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
3623,-0.264893,0.095947,0.921753,0.963848,-5.676270,-3.784180,0.183105,5.943,15.952,5.056,13.920,-3.691,-10.598,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
3673,-0.274536,0.077515,0.967896,1.009059,-5.249023,2.197266,5.187988,4.579,15.788,4.776,13.739,-5.336,-6.633,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
3723,-0.298340,0.088135,0.930420,0.981048,1.098633,3.479004,-0.671387,5.411,17.704,4.620,13.801,-1.857,-3.700,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
3765,-0.315796,0.149414,0.978027,1.038551,6.042480,-12.329102,-6.835937,8.686,17.702,4.797,13.888,0.823,-8.904,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
3823,-0.284302,0.077637,0.980591,1.023921,4.211426,-3.479004,-1.525879,4.527,16.121,4.951,13.452,1.961,-13.322,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
3873,-0.286865,0.080688,0.979980,1.024287,2.136230,3.112793,4.760742,4.707,16.264,4.994,13.348,1.830,-5.583,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
3923,-0.287598,0.088501,0.990234,1.034944,-1.464844,-7.629395,2.319336,5.107,16.134,5.019,13.293,-0.242,-9.224,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
3975,-0.273560,0.086304,0.971191,1.012668,0.488281,-0.305176,0.610352,5.078,15.672,5.059,13.075,-0.182,-9.114,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
4014,-0.284424,0.117920,0.979980,1.027212,-0.732422,0.244141,-1.220703,6.861,16.075,5.038,13.037,-1.228,-6.392,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
4073,-0.271240,0.145996,0.939331,0.988549,1.586914,0.549316,-2.868652,8.835,15.925,5.166,13.081,0.212,-5.481,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
4123,-0.303955,0.063354,0.998535,1.045694,0.122070,-2.746582,-0.244141,3.630,16.898,5.302,13.077,-0.183,-7.538,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
4173,-0.291870,0.114624,0.978027,1.027066,-2.441406,6.774902,2.563477,6.685,16.510,5.345,13.091,-2.561,-4.167,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
4214,-0.284424,0.114136,0.936890,0.985741,1.647949,5.798340,1.770020,6.946,16.770,5.283,13.312,-1.774,-0.428,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
4273,-0.303467,0.082886,0.978027,1.027375,-2.746582,-4.333496,-4.089355,4.844,17.180,5.156,13.595,-4.099,-4.894,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
4323,-0.300171,0.066162,0.961426,1.009366,2.197266,-11.718750,-9.887695,3.937,17.301,4.913,13.507,-1.747,-12.664,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
4373,-0.287354,0.091431,0.978638,1.024043,-0.305176,-2.929688,-9.338379,5.337,16.296,4.842,13.199,-1.410,-11.916,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
4414,-0.303955,0.115845,0.973877,1.026764,-0.061035,6.103516,-4.943848,6.784,17.219,4.793,13.285,-1.535,-4.084,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
4473,-0.296631,0.090576,0.942139,0.991877,-2.075195,-0.305176,3.112793,5.491,17.401,4.818,13.596,-2.335,-3.727,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
4523,-0.293823,0.101929,0.955566,1.004902,0.488281,3.906250,4.211426,6.089,17.001,4.661,13.759,-1.584,-3.587,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
4573,-0.286133,0.036255,0.952637,0.995341,3.173828,-6.896973,5.493164,2.179,16.707,4.445,13.831,-1.637,-6.645,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
4615,-0.265381,0.106934,0.983643,1.024409,2.197266,-19.836426,2.014160,6.204,15.014,4.523,13.430,0.077,-17.984,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
4673,-0.251587,0.126953,0.963867,1.004218,0.671387,2.807617,-2.868652,7.503,14.509,4.791,12.593,-0.804,-11.749,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
4723,-0.277466,0.094360,0.964966,1.008489,1.831055,14.892578,-1.892090,5.585,15.970,4.807,12.751,-1.007,1.703,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
4773,-0.302124,0.071655,0.959961,1.008929,5.187988,6.225586,-1.220703,4.269,17.425,4.849,13.397,2.023,3.421,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
4815,-0.302490,0.140259,0.995728,1.050070,6.469727,5.004883,-1.342773,8.018,16.742,5.020,13.728,2.444,0.306,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
4873,-0.280273,0.114258,0.951538,0.998515,4.882812,0.610352,2.624512,6.847,16.301,5.644,13.878,3.475,-3.509,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
4923,-0.300171,0.106079,0.985229,1.035390,-0.366211,-1.953125,-0.610352,6.145,16.853,5.817,13.927,1.738,-6.382,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
4973,-0.309326,0.089233,0.957642,1.010308,-1.281738,-1.708984,-3.723145,5.323,17.829,5.767,13.974,-1.733,-6.998,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
5025,-0.294800,0.140381,0.957520,1.011661,-0.366211,-3.417969,-0.061035,8.341,16.942,5.714,13.946,-1.572,-8.025,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
5073,-0.286987,0.094238,0.951782,0.998565,-1.342773,-1.831055,2.929688,5.655,16.702,5.619,13.723,-3.196,-9.786,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
5123,-0.304199,0.086060,0.979126,1.028898,2.014160,-3.540039,-1.953125,5.023,17.197,5.642,13.649,-0.107,-8.759,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
5174,-0.255859,0.071289,0.966919,1.002735,-1.098633,-6.469727,0.854492,4.217,14.783,5.418,13.329,-0.791,-11.638,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
5225,-0.279053,0.104004,0.966187,1.011041,5.859375,2.563477,1.647949,6.144,16.022,5.458,13.034,-0.236,-7.973,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
5273,-0.280884,0.104004,0.957642,1.003389,0.122070,1.281738,-0.427246,6.198,16.256,5.556,13.028,-0.615,-4.754,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
5323,-0.281738,0.114258,0.981812,1.027806,-2.441406,-0.671387,-1.770020,6.638,15.909,5.631,13.058,-1.553,-6.897,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
5373,-0.298584,0.147339,0.978149,1.033265,-5.065918,1.403809,0.122070,8.566,16.796,5.779,13.107,-4.158,-4.860,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
5423,-0.245361,0.089111,0.947632,0.982929,-7.141113,-6.103516,4.272461,5.372,14.455,5.572,13.057,-6.210,-9.041,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
5473,-0.279907,0.146973,0.940186,0.991916,0.366211,5.249023,2.441406,8.885,16.391,5.193,13.071,-4.884,-4.385,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
5523,-0.298950,0.087524,0.996216,1.043780,-3.234863,2.624512,1.220703,5.021,16.643,5.022,13.231,-5.012,-2.825,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
5573,-0.277100,0.076050,0.970825,1.012457,-2.136230,0.366211,-0.061035,4.479,15.884,4.875,13.355,-3.938,-4.444,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
5623,-0.266479,0.042114,0.887329,0.927436,12.878418,-7.751465,1.037598,2.717,16.698,4.668,13.368,1.297,-8.785,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
5664,-0.271973,0.093384,0.989502,1.030439,2.380371,-10.009766,-2.136230,5.391,15.304,4.895,13.080,1.375,-12.879,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
5723,-0.281616,0.165527,0.977783,1.030906,-3.173828,-1.403809,-3.845215,9.608,15.853,5.080,12.682,-1.514,-11.055,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
5773,-0.257324,0.055298,0.946655,0.982563,-1.770020,-4.272461,1.403809,3.343,15.182,4.957,12.517,-1.546,-10.449,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
5823,-0.286865,0.051636,1.019653,1.060496,-2.502441,-1.342773,3.295898,2.899,15.694,4.675,12.348,-2.624,-9.110,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
5864,-0.274902,0.078613,1.006348,1.046177,-3.356934,0.427246,2.258301,4.467,15.234,4.520,12.279,-3.752,-7.214,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
5923,-0.267944,0.091187,0.975830,1.016048,-0.610352,0.427246,1.342773,5.339,15.290,4.364,12.249,-2.962,-5.859,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
5973,-0.269531,0.063843,0.968384,1.007219,1.281738,-1.953125,0.549316,3.772,15.521,4.304,12.247,-1.432,-7.151,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
6023,-0.271240,0.115112,0.988525,1.031506,2.014160,0.732422,0.061035,6.642,15.246,4.400,12.194,-0.058,-6.765,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
6065,-0.287720,0.132080,1.007202,1.055786,1.770020,0.366211,-1.892090,7.471,15.814,4.628,12.222,0.407,-5.990,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
6123,-0.270752,0.069946,0.972290,1.011705,2.258301,1.647949,-3.906250,4.115,15.523,4.712,12.271,0.179,-6.116,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
6173,-0.253906,0.060303,0.956177,0.991150,5.493164,1.831055,-1.403809,3.609,14.843,4.566,12.333,2.271,-4.684,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
6223,-0.239258,0.106567,0.950439,0.985868,7.629395,4.089355,1.281738,6.398,14.045,4.825,12.341,4.936,-3.413,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
6265,-0.242676,0.140747,0.910767,0.952994,5.859375,0.183105,1.892090,8.785,14.753,5.248,12.376,5.024,-3.339,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
6323,-0.260864,0.143188,0.973511,1.017977,-3.356934,-8.911133,-2.990723,8.367,14.848,5.860,12.236,-0.290,-10.983,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
6373,-0.280273,0.102173,1.017090,1.059936,-8.483887,-9.216309,-7.446289,5.736,15.333,5.620,11.900,-6.784,-14.570,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
6423,-0.263428,0.026123,0.967529,1.003090,-11.413574,-8.666992,-8.178711,1.547,15.225,4.952,11.572,-11.190,-13.572,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
6475,-0.272827,0.114868,1.027710,1.069494,-9.277344,-13.305664,-6.286621,6.378,14.779,4.414,11.191,-9.338,-17.385,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
6523,-0.267212,0.121460,0.994995,1.037386,-11.047363,1.281738,-7.995605,6.960,14.927,4.185,10.844,-9.528,-12.304,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
6573,-0.271362,0.057007,0.980713,1.019159,-17.456055,-12.329102,-10.009766,3.327,15.442,3.535,10.795,-14.292,-11.815,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
6623,-0.227417,0.026489,0.961914,0.988787,-24.902344,-23.010254,-8.544922,1.577,13.297,2.513,10.188,-20.345,-24.162,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
6673,-0.244385,0.013550,1.042725,1.071066,-23.132324,-27.770996,-3.173828,0.744,13.189,1.123,9.165,-24.291,-30.003,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
6714,-0.186523,-0.012573,1.002197,1.019484,-26.184082,-15.563965,0.305176,-0.719,10.542,0.088,8.233,-26.112,-27.444,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
6773,-0.231323,-0.045898,1.068481,1.094198,-20.812988,-24.169922,4.760742,-2.460,12.205,-1.754,7.231,-25.811,-25.066,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
6823,-0.165894,-0.067993,1.003296,1.019189,-20.935059,-27.526855,7.873535,-3.877,9.368,-2.894,6.152,-23.580,-31.426,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
6873,-0.163574,-0.100586,1.083008,1.099900,-11.840820,-45.166016,10.925293,-5.306,8.553,-4.064,4.765,-18.407,-41.791,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
6914,-0.044434,-0.111450,0.973755,0.981119,-5.676270,-25.085449,10.498047,-6.529,2.596,-4.728,3.113,-12.800,-40.899,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
6973,-0.050171,-0.117065,1.056274,1.063925,4.455566,0.366211,7.751465,-6.324,2.703,-5.460,1.592,-2.262,-15.804,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
7023,0.018555,-0.106445,0.936401,0.942615,9.277344,-4.089355,5.798340,-6.485,-1.128,-5.375,1.090,5.191,-9.387,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
7073,-0.076538,-0.093994,1.141235,1.147655,20.202637,7.873535,6.591797,-4.708,3.824,-4.922,0.865,13.974,-3.902,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
7115,-0.083618,-0.082764,1.005859,1.012717,23.681641,5.676270,12.207031,-4.704,4.736,-4.228,1.074,17.402,-0.245,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
7173,-0.092163,-0.062134,0.960937,0.967345,19.897461,-44.738770,16.052246,-3.700,5.467,-2.872,0.568,18.995,-26.680,0.000,0.000,0.000,0.000,103.00,90.00,1644,1500
