ms,control_dt_us,control_exec_us,esekf_us,missed,log_dropped,ax,ay,az,gx,gy,gz,roll_deg,pitch_deg,yaw_deg,vn,ve,vu,pn,pe,pu,bgx,bgy,bgz,bax,bay,baz,s_roll,s_pitch,u_diff_deg,u_sym_deg,u_tail_deg,left_inc_deg,right_inc_deg,b00,b01,b10,b11,left_deg,right_deg,morph_deg,tail_deg,left_pwm,right_pwm,morph_pwm,tail_pwm,gps_fix,gps_sats,gps_lat_deg,gps_lon_deg,gps_alt_m,gps_vn,gps_ve,gps_vd,gps_fix_type,gps_hacc_m,gps_vacc_m,gps_sacc_mps,gps_origin_set
517,500992,15164,12060,0,0,5.49948,0.34477,7.34781,1.136637,0.378169,-0.507066,21.843,3.003,-0.239,0.0731,-0.0305,-0.0394,0.0005,-0.0002,-0.0002,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2472,1500,0,,,,,,,,0,,,,0
581,15882,15477,12146,0,0,5.84544,1.40061,8.26000,1.222924,-0.039415,-0.079895,25.982,3.254,0.086,0.4655,-0.1770,-0.2251,0.0177,-0.0068,-0.0093,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2469,1500,0,,,,,,,,0,,,,0
623,26144,15647,12624,0,0,6.91445,1.71185,7.41604,1.250620,0.092678,-0.312122,28.918,3.705,-0.440,0.7680,-0.2763,-0.3385,0.0435,-0.0164,-0.0210,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2462,1500,0,,,,,,,,0,,,,0
675,15257,15407,12215,0,0,6.53138,4.20182,7.00184,0.842624,0.600809,-0.192813,31.935,5.564,-0.854,1.1545,-0.3129,-0.4852,0.0938,-0.0322,-0.0428,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2459,1500,0,,,,,,,,0,,,,0
717,21317,15242,12219,0,0,6.95994,2.91973,5.37379,0.877778,0.917193,0.068177,34.296,7.150,0.220,1.4751,-0.3369,-0.6610,0.1491,-0.0458,-0.0667,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2452,1500,0,,,,,,,,0,,,,0
775,15478,15931,12627,0,0,5.08169,3.21541,5.75087,0.475108,2.337190,0.162985,36.920,12.235,4.404,1.9184,-0.3671,-0.9249,0.2472,-0.0660,-0.1123,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2449,1500,0,,,,,,,,0,,,,0
827,15645,15475,12516,0,0,2.81438,4.85185,7.50463,0.263120,1.621332,0.104396,39.172,16.653,8.694,2.1929,-0.4050,-1.0866,0.3548,-0.0865,-0.1655,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2442,1500,0,,,,,,,,0,,,,0
869,25912,15654,12639,0,0,2.53307,4.81235,7.04015,0.028762,1.594701,-0.055394,40.067,19.676,11.205,2.4088,-0.3970,-1.1832,0.4506,-0.1032,-0.2126,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2435,1500,0,,,,,,,,0,,,,0
926,15727,15697,12712,0,0,10.19092,2.26013,9.38288,-0.118244,1.792840,-0.193878,41.184,23.315,14.509,2.7931,-0.3419,-1.4729,0.5945,-0.1241,-0.2871,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2432,1500,0,,,,,,,,0,,,,0
978,15687,15151,12137,0,0,0.88107,4.62201,6.75285,-0.187487,4.086354,0.162985,44.493,30.585,22.761,3.0618,-0.3592,-1.6166,0.7484,-0.1430,-0.3680,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2425,1500,0,,,,,,,,0,,,,0
1037,30464,28060,20149,0,0,-2.66953,4.56933,7.59800,-0.463390,4.095942,-0.052198,48.934,38.399,32.557,3.2476,-0.3644,-1.7141,0.8930,-0.1592,-0.4448,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2419,1500,0,,,,,,,,0,,,,0
1068,28321,30950,27861,0,0,-2.98557,4.18147,8.98664,-0.591222,3.782754,0.117179,52.096,42.160,38.926,3.4098,-0.3980,-1.7499,0.9873,-0.1700,-0.4939,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2415,1500,0,,,,,,,,0,,,,0
1120,15791,15264,12199,0,0,-4.87340,3.90973,8.11754,-0.570982,1.612810,0.402670,57.428,47.015,49.290,3.7520,-0.4934,-1.8236,1.2298,-0.2004,-0.6149,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2409,1500,0,,,,,,,,0,,,,0
1179,15857,15153,12133,0,0,-4.40653,3.74094,7.70215,-0.428236,0.349407,-0.275903,57.679,48.689,51.641,4.0712,-0.5535,-1.9248,1.4604,-0.2314,-0.7251,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2402,1500,0,,,,,,,,0,,,,0
1222,21589,15628,12572,0,0,-4.39336,3.45723,8.09719,-0.270577,0.251402,-0.317449,57.139,49.533,51.931,4.3002,-0.5919,-2.0011,1.6363,-0.2554,-0.8077,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2395,1500,0,,,,,,,,0,,,,0
1273,15286,15476,12516,0,0,-4.90811,2.86586,7.77397,-0.253533,0.234358,-0.398409,56.048,50.770,51.575,4.5739,-0.6592,-2.0777,1.8635,-0.2874,-0.9119,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2392,1500,0,,,,,,,,0,,,,0
1331,15758,15984,12953,0,0,-5.17507,2.61806,8.12472,-0.162985,0.451672,-0.060720,56.143,51.837,52.562,4.8793,-0.7332,-2.1834,2.1350,-0.3273,-1.0345,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2385,1500,0,,,,,,,,0,,,,0
1375,21381,17322,13969,0,0,-5.44801,2.61567,7.80390,-0.041545,0.169377,-0.132093,42.643,41.455,34.721,3.4571,-1.6286,-1.0194,1.6988,-0.7260,-0.5857,-0.0005285,0.0192444,-0.0012109,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2379,1500,0,,,,,,,,0,,,,0
1434,18206,17993,14987,0,0,-4.72017,2.57975,7.46632,-0.034088,-0.152333,-0.047937,18.465,34.128,31.656,1.8640,0.3213,0.5350,1.1737,0.1061,0.1372,0.0182957,0.0300871,-0.0140354,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2375,1500,0,,,,,,,,0,,,,0
1482,29050,18049,14995,0,0,-4.76446,2.20386,7.52498,-0.037284,-0.117179,0.087352,17.576,33.111,31.449,1.7912,0.3651,0.5710,1.2238,0.1419,0.1981,0.0199681,0.0324055,-0.0143227,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2369,1500,0,,,,,,,,0,,,,0
1520,18270,38310,30229,0,0,-4.73813,2.23858,7.15986,-0.013848,-0.045806,0.122505,17.550,32.889,31.544,1.7810,0.3650,0.5621,1.2514,0.1482,0.2128,0.0201290,0.0329543,-0.0143506,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2369,1500,0,,,,,,,,0,,,,0
1573,37003,15770,12728,0,0,-5.68743,2.00036,7.54054,0.003196,0.341950,0.290817,17.905,33.844,32.919,1.8048,0.4081,0.5209,1.4070,0.2201,0.2421,0.0225990,0.0280048,-0.0142435,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2362,1500,0,,,,,,,,0,,,,0
